,empo_1,empo_2,empo_3
training_5286,Host-associated,Plant,Plant surface
training_5287,Host-associated,Animal,Animal secretion
training_5288,Host-associated,Plant,Plant surface
training_5289,Free-living,Non-saline,Soil (non-saline)
training_5290,Free-living,Non-saline,Soil (non-saline)
training_5291,Host-associated,Animal,Animal surface
training_5292,Host-associated,Animal,Animal secretion
training_5293,Host-associated,Animal,Animal distal gut
training_5294,Free-living,Non-saline,Sediment (non-saline)
training_5295,Host-associated,Animal,Animal secretion
training_5296,Free-living,Non-saline,Soil (non-saline)
training_5297,Host-associated,Animal,Animal distal gut
training_5298,Free-living,Non-saline,Soil (non-saline)
training_5299,Free-living,Non-saline,Soil (non-saline)
training_5300,Free-living,Saline,Water (saline)
training_5301,Free-living,Non-saline,Soil (non-saline)
training_5302,Host-associated,Plant,Plant rhizosphere
training_5303,Free-living,Non-saline,Soil (non-saline)
training_5304,Free-living,Non-saline,Soil (non-saline)
training_5305,Free-living,Non-saline,Soil (non-saline)
training_5306,Free-living,Non-saline,Water (non-saline)
training_5307,Host-associated,Animal,Animal surface
training_5308,Free-living,Non-saline,Surface (non-saline)
training_5309,Free-living,Non-saline,Water (non-saline)
training_5310,Free-living,Non-saline,Water (non-saline)
training_5311,Free-living,Non-saline,Water (non-saline)
training_5312,Host-associated,Animal,Animal proximal gut
training_5313,Host-associated,Plant,Plant surface
training_5314,Free-living,Non-saline,Soil (non-saline)
training_5315,Free-living,Non-saline,Soil (non-saline)
training_5316,Free-living,Non-saline,Water (non-saline)
training_5317,Host-associated,Plant,Plant surface
training_5318,Free-living,Non-saline,Water (non-saline)
training_5319,Host-associated,Animal,Animal surface
training_5320,Host-associated,Animal,Animal secretion
training_5321,Host-associated,Animal,Animal distal gut
training_5322,Free-living,Non-saline,Soil (non-saline)
training_5323,Free-living,Non-saline,Surface (non-saline)
training_5324,Host-associated,Animal,Animal distal gut
training_5325,Free-living,Non-saline,Soil (non-saline)
training_5326,Host-associated,Animal,Animal surface
training_5327,Free-living,Non-saline,Water (non-saline)
training_5328,Free-living,Non-saline,Water (non-saline)
training_5329,Host-associated,Animal,Animal corpus
training_5330,Free-living,Non-saline,Water (non-saline)
training_5331,Free-living,Non-saline,Surface (non-saline)
training_5332,Host-associated,Animal,Animal distal gut
training_5333,Free-living,Non-saline,Soil (non-saline)
training_5334,Host-associated,Animal,Animal surface
training_5335,Host-associated,Animal,Animal corpus
training_5336,Free-living,Non-saline,Surface (non-saline)
training_5337,Free-living,Non-saline,Water (non-saline)
training_5338,Free-living,Non-saline,Soil (non-saline)
training_5339,Free-living,Non-saline,Water (non-saline)
training_5340,Host-associated,Animal,Animal surface
training_5341,Host-associated,Animal,Animal surface
training_5342,Host-associated,Animal,Animal proximal gut
training_5343,Free-living,Non-saline,Water (non-saline)
training_5344,Free-living,Non-saline,Surface (non-saline)
training_5345,Host-associated,Animal,Animal proximal gut
training_5346,Host-associated,Animal,Animal distal gut
training_5347,Free-living,Saline,Sediment (saline)
training_5348,Free-living,Non-saline,Surface (non-saline)
training_5349,Free-living,Non-saline,Sediment (non-saline)
training_5350,Free-living,Non-saline,Soil (non-saline)
training_5351,Host-associated,Animal,Animal secretion
training_5352,Host-associated,Plant,Plant surface
training_5353,Free-living,Non-saline,Soil (non-saline)
training_5354,Free-living,Non-saline,Water (non-saline)
training_5355,Host-associated,Animal,Animal surface
training_5356,Free-living,Non-saline,Water (non-saline)
training_5357,Free-living,Non-saline,Soil (non-saline)
training_5358,Free-living,Non-saline,Soil (non-saline)
training_5359,Host-associated,Animal,Animal distal gut
training_5360,Host-associated,Plant,Plant surface
training_5361,Free-living,Saline,Sediment (saline)
training_5362,Free-living,Non-saline,Water (non-saline)
training_5363,Host-associated,Plant,Plant surface
training_5364,Free-living,Non-saline,Water (non-saline)
training_5365,Free-living,Non-saline,Soil (non-saline)
training_5366,Free-living,Non-saline,Water (non-saline)
training_5367,Free-living,Non-saline,Soil (non-saline)
training_5368,Free-living,Non-saline,Water (non-saline)
training_5369,Free-living,Non-saline,Water (non-saline)
training_5370,Free-living,Non-saline,Surface (non-saline)
training_5371,Free-living,Non-saline,Surface (non-saline)
training_5372,Free-living,Non-saline,Soil (non-saline)
training_5373,Host-associated,Animal,Animal surface
training_5374,Host-associated,Plant,Plant surface
training_5375,Host-associated,Animal,Animal distal gut
training_5376,Free-living,Non-saline,Water (non-saline)
training_5377,Free-living,Non-saline,Sediment (non-saline)
training_5378,Host-associated,Animal,Animal surface
training_5379,Host-associated,Animal,Animal distal gut
training_5380,Host-associated,Animal,Animal distal gut
training_5381,Host-associated,Animal,Animal surface
training_5382,Free-living,Non-saline,Soil (non-saline)
training_5383,Host-associated,Animal,Animal distal gut
training_5384,Host-associated,Animal,Animal surface
training_5385,Host-associated,Animal,Animal distal gut
training_5386,Host-associated,Animal,Animal distal gut
training_5387,Free-living,Non-saline,Soil (non-saline)
training_5388,Host-associated,Animal,Animal distal gut
training_5389,Host-associated,Animal,Animal distal gut
training_5390,Host-associated,Plant,Plant surface
training_5391,Free-living,Non-saline,Surface (non-saline)
training_5392,Free-living,Non-saline,Soil (non-saline)
training_5393,Host-associated,Plant,Plant rhizosphere
training_5394,Free-living,Non-saline,Soil (non-saline)
training_5395,Host-associated,Animal,Animal distal gut
training_5396,Free-living,Non-saline,Water (non-saline)
training_5397,Free-living,Non-saline,Soil (non-saline)
training_5398,Host-associated,Animal,Animal secretion
training_5399,Free-living,Saline,Water (saline)
training_5400,Host-associated,Plant,Plant surface
training_5401,Host-associated,Animal,Animal distal gut
training_5402,Host-associated,Animal,Animal secretion
training_5403,Host-associated,Animal,Animal surface
training_5404,Host-associated,Plant,Plant rhizosphere
training_5405,Host-associated,Animal,Animal surface
training_5406,Host-associated,Plant,Plant surface
training_5407,Free-living,Non-saline,Soil (non-saline)
training_5408,Free-living,Non-saline,Water (non-saline)
training_5409,Free-living,Non-saline,Sediment (non-saline)
training_5410,Free-living,Non-saline,Soil (non-saline)
training_5411,Free-living,Non-saline,Water (non-saline)
training_5412,Host-associated,Animal,Animal distal gut
training_5413,Free-living,Non-saline,Soil (non-saline)
training_5414,Free-living,Non-saline,Surface (non-saline)
training_5415,Free-living,Saline,Sediment (saline)
training_5416,Host-associated,Plant,Plant rhizosphere
training_5417,Host-associated,Animal,Animal surface
training_5418,Free-living,Non-saline,Water (non-saline)
training_5419,Free-living,Non-saline,Surface (non-saline)
training_5420,Free-living,Non-saline,Water (non-saline)
training_5421,Host-associated,Plant,Plant surface
training_5422,Free-living,Non-saline,Water (non-saline)
training_5423,Free-living,Non-saline,Soil (non-saline)
training_5424,Host-associated,Animal,Animal distal gut
training_5425,Host-associated,Animal,Animal distal gut
training_5426,Free-living,Non-saline,Water (non-saline)
training_5427,Host-associated,Animal,Animal distal gut
training_5428,Host-associated,Animal,Animal distal gut
training_5429,Host-associated,Animal,Animal surface
training_5430,Free-living,Non-saline,Surface (non-saline)
training_5431,Host-associated,Animal,Animal distal gut
training_5432,Free-living,Non-saline,Soil (non-saline)
training_5433,Free-living,Non-saline,Water (non-saline)
training_5434,Host-associated,Animal,Animal distal gut
training_5435,Free-living,Non-saline,Sediment (non-saline)
training_5436,Free-living,Saline,Water (saline)
training_5437,Host-associated,Plant,Plant surface
training_5438,Host-associated,Plant,Plant corpus
training_5439,Free-living,Non-saline,Surface (non-saline)
training_5440,Free-living,Non-saline,Soil (non-saline)
training_5441,Free-living,Non-saline,Water (non-saline)
training_5442,Host-associated,Animal,Animal surface
training_5443,Host-associated,Animal,Animal distal gut
training_5444,Free-living,Non-saline,Soil (non-saline)
training_5445,Free-living,Non-saline,Sediment (non-saline)
training_5446,Host-associated,Animal,Animal surface
training_5447,Free-living,Non-saline,Soil (non-saline)
training_5448,Free-living,Saline,Sediment (saline)
training_5449,Host-associated,Animal,Animal surface
training_5450,Host-associated,Animal,Animal distal gut
training_5451,Free-living,Non-saline,Water (non-saline)
training_5452,Host-associated,Animal,Animal distal gut
training_5453,Host-associated,Plant,Plant surface
training_5454,Free-living,Non-saline,Soil (non-saline)
training_5455,Free-living,Non-saline,Soil (non-saline)
training_5456,Host-associated,Plant,Plant surface
training_5457,Free-living,Non-saline,Soil (non-saline)
training_5458,Free-living,Non-saline,Soil (non-saline)
training_5459,Free-living,Non-saline,Water (non-saline)
training_5460,Host-associated,Animal,Animal distal gut
training_5461,Free-living,Non-saline,Water (non-saline)
training_5462,Host-associated,Animal,Animal distal gut
training_5463,Free-living,Non-saline,Water (non-saline)
training_5464,Host-associated,Animal,Animal distal gut
training_5465,Free-living,Non-saline,Surface (non-saline)
training_5466,Free-living,Non-saline,Water (non-saline)
training_5467,Host-associated,Plant,Plant surface
training_5468,Free-living,Non-saline,Soil (non-saline)
training_5469,Host-associated,Animal,Animal surface
training_5470,Free-living,Non-saline,Surface (non-saline)
training_5471,Host-associated,Animal,Animal proximal gut
training_5472,Host-associated,Animal,Animal distal gut
training_5473,Free-living,Non-saline,Soil (non-saline)
training_5474,Free-living,Saline,Sediment (saline)
training_5475,Free-living,Non-saline,Soil (non-saline)
training_5476,Host-associated,Animal,Animal distal gut
training_5477,Free-living,Non-saline,Surface (non-saline)
training_5478,Host-associated,Animal,Animal distal gut
training_5479,Host-associated,Plant,Plant rhizosphere
training_5480,Free-living,Non-saline,Water (non-saline)
training_5481,Free-living,Non-saline,Water (non-saline)
training_5482,Free-living,Non-saline,Soil (non-saline)
training_5483,Free-living,Non-saline,Soil (non-saline)
training_5484,Free-living,Non-saline,Soil (non-saline)
training_5485,Host-associated,Animal,Animal secretion
training_5486,Host-associated,Animal,Animal secretion
training_5487,Free-living,Non-saline,Soil (non-saline)
training_5488,Host-associated,Animal,Animal distal gut
training_5489,Free-living,Non-saline,Aerosol (non-saline)
training_5490,Host-associated,Animal,Animal distal gut
training_5491,Host-associated,Animal,Animal distal gut
training_5492,Host-associated,Animal,Animal proximal gut
training_5493,Free-living,Saline,Sediment (saline)
training_5494,Host-associated,Animal,Animal surface
training_5495,Free-living,Non-saline,Soil (non-saline)
training_5496,Free-living,Non-saline,Soil (non-saline)
training_5497,Free-living,Non-saline,Water (non-saline)
training_5498,Host-associated,Animal,Animal distal gut
training_5499,Free-living,Non-saline,Water (non-saline)
training_5500,Host-associated,Animal,Animal surface
training_5501,Free-living,Non-saline,Soil (non-saline)
training_5502,Free-living,Non-saline,Soil (non-saline)
training_5503,Host-associated,Animal,Animal distal gut
training_5504,Free-living,Non-saline,Water (non-saline)
training_5505,Host-associated,Animal,Animal surface
training_5506,Free-living,Non-saline,Water (non-saline)
training_5507,Free-living,Saline,Sediment (saline)
training_5508,Free-living,Non-saline,Water (non-saline)
training_5509,Host-associated,Animal,Animal distal gut
training_5510,Free-living,Non-saline,Surface (non-saline)
training_5511,Host-associated,Animal,Animal distal gut
training_5512,Host-associated,Animal,Animal distal gut
training_5513,Free-living,Non-saline,Soil (non-saline)
training_5514,Host-associated,Animal,Animal distal gut
training_5515,Free-living,Non-saline,Water (non-saline)
training_5516,Free-living,Non-saline,Water (non-saline)
training_5517,Free-living,Non-saline,Water (non-saline)
training_5518,Host-associated,Animal,Animal distal gut
training_5519,Host-associated,Animal,Animal surface
training_5520,Free-living,Non-saline,Water (non-saline)
training_5521,Host-associated,Animal,Animal distal gut
training_5522,Free-living,Non-saline,Sediment (non-saline)
training_5523,Free-living,Non-saline,Water (non-saline)
training_5524,Host-associated,Animal,Animal surface
training_5525,Host-associated,Animal,Animal secretion
training_5526,Host-associated,Animal,Animal secretion
training_5527,Host-associated,Animal,Animal distal gut
training_5528,Free-living,Non-saline,Water (non-saline)
training_5529,Host-associated,Animal,Animal distal gut
training_5530,Free-living,Non-saline,Soil (non-saline)
training_5531,Host-associated,Plant,Plant surface
training_5532,Free-living,Non-saline,Water (non-saline)
training_5533,Host-associated,Animal,Animal distal gut
training_5534,Host-associated,Animal,Animal distal gut
training_5535,Host-associated,Plant,Plant rhizosphere
training_5536,Free-living,Saline,Water (saline)
training_5537,Free-living,Non-saline,Soil (non-saline)
training_5538,Free-living,Non-saline,Surface (non-saline)
training_5539,Host-associated,Animal,Animal distal gut
training_5540,Free-living,Non-saline,Surface (non-saline)
training_5541,Host-associated,Animal,Animal distal gut
training_5542,Free-living,Non-saline,Surface (non-saline)
training_5543,Host-associated,Animal,Animal distal gut
training_5544,Host-associated,Animal,Animal surface
training_5545,Free-living,Non-saline,Water (non-saline)
training_5546,Host-associated,Animal,Animal distal gut
training_5547,Host-associated,Animal,Animal distal gut
training_5548,Host-associated,Animal,Animal distal gut
training_5549,Host-associated,Animal,Animal distal gut
training_5550,Host-associated,Animal,Animal proximal gut
training_5551,Free-living,Non-saline,Soil (non-saline)
training_5552,Host-associated,Animal,Animal distal gut
training_5553,Host-associated,Animal,Animal distal gut
training_5554,Host-associated,Animal,Animal surface
training_5555,Free-living,Non-saline,Surface (non-saline)
training_5556,Free-living,Non-saline,Surface (non-saline)
training_5557,Host-associated,Animal,Animal distal gut
training_5558,Host-associated,Animal,Animal surface
training_5559,Free-living,Non-saline,Surface (non-saline)
training_5560,Free-living,Saline,Sediment (saline)
training_5561,Free-living,Non-saline,Water (non-saline)
training_5562,Host-associated,Plant,Plant surface
training_5563,Free-living,Non-saline,Water (non-saline)
training_5564,Free-living,Saline,Surface (saline)
training_5565,Free-living,Non-saline,Soil (non-saline)
training_5566,Free-living,Non-saline,Water (non-saline)
training_5567,Free-living,Non-saline,Surface (non-saline)
training_5568,Free-living,Saline,Sediment (saline)
training_5569,Host-associated,Animal,Animal surface
training_5570,Host-associated,Plant,Plant surface
training_5571,Host-associated,Plant,Plant surface
training_5572,Host-associated,Animal,Animal corpus
training_5573,Free-living,Non-saline,Soil (non-saline)
training_5574,Free-living,Non-saline,Surface (non-saline)
training_5575,Free-living,Non-saline,Water (non-saline)
training_5576,Free-living,Non-saline,Soil (non-saline)
training_5577,Host-associated,Animal,Animal distal gut
training_5578,Host-associated,Animal,Animal proximal gut
training_5579,Free-living,Non-saline,Water (non-saline)
training_5580,Free-living,Non-saline,Water (non-saline)
training_5581,Host-associated,Animal,Animal proximal gut
training_5582,Host-associated,Animal,Animal corpus
training_5583,Host-associated,Animal,Animal surface
training_5584,Host-associated,Animal,Animal distal gut
training_5585,Host-associated,Plant,Plant rhizosphere
training_5586,Host-associated,Animal,Animal surface
training_5587,Host-associated,Animal,Animal distal gut
training_5588,Host-associated,Animal,Animal corpus
training_5589,Free-living,Non-saline,Sediment (non-saline)
training_5590,Host-associated,Animal,Animal proximal gut
training_5591,Host-associated,Animal,Animal distal gut
training_5592,Free-living,Non-saline,Soil (non-saline)
training_5593,Host-associated,Plant,Plant surface
training_5594,Host-associated,Animal,Animal surface
training_5595,Free-living,Non-saline,Water (non-saline)
training_5596,Host-associated,Animal,Animal secretion
training_5597,Free-living,Non-saline,Soil (non-saline)
training_5598,Host-associated,Animal,Animal surface
training_5599,Host-associated,Animal,Animal distal gut
training_5600,Host-associated,Animal,Animal distal gut
training_5601,Host-associated,Animal,Animal surface
training_5602,Free-living,Non-saline,Soil (non-saline)
training_5603,Free-living,Non-saline,Water (non-saline)
training_5604,Free-living,Non-saline,Surface (non-saline)
training_5605,Free-living,Non-saline,Aerosol (non-saline)
training_5606,Free-living,Non-saline,Water (non-saline)
training_5607,Host-associated,Animal,Animal distal gut
training_5608,Host-associated,Plant,Plant surface
training_5609,Host-associated,Animal,Animal distal gut
training_5610,Free-living,Non-saline,Sediment (non-saline)
training_5611,Host-associated,Animal,Animal surface
training_5612,Free-living,Non-saline,Soil (non-saline)
training_5613,Host-associated,Animal,Animal distal gut
training_5614,Free-living,Saline,Water (saline)
training_5615,Free-living,Non-saline,Water (non-saline)
training_5616,Free-living,Non-saline,Soil (non-saline)
training_5617,Free-living,Non-saline,Water (non-saline)
training_5618,Host-associated,Plant,Plant surface
training_5619,Free-living,Non-saline,Water (non-saline)
training_5620,Free-living,Non-saline,Water (non-saline)
training_5621,Free-living,Non-saline,Soil (non-saline)
training_5622,Free-living,Non-saline,Water (non-saline)
training_5623,Free-living,Non-saline,Sediment (non-saline)
training_5624,Free-living,Non-saline,Water (non-saline)
training_5625,Host-associated,Animal,Animal distal gut
training_5626,Free-living,Non-saline,Surface (non-saline)
training_5627,Host-associated,Animal,Animal distal gut
training_5628,Host-associated,Animal,Animal proximal gut
training_5629,Free-living,Non-saline,Water (non-saline)
training_5630,Host-associated,Animal,Animal distal gut
training_5631,Free-living,Non-saline,Soil (non-saline)
training_5632,Free-living,Non-saline,Water (non-saline)
training_5633,Free-living,Non-saline,Soil (non-saline)
training_5634,Host-associated,Animal,Animal distal gut
training_5635,Host-associated,Animal,Animal distal gut
training_5636,Free-living,Non-saline,Soil (non-saline)
training_5637,Host-associated,Plant,Plant rhizosphere
training_5638,Free-living,Non-saline,Water (non-saline)
training_5639,Free-living,Non-saline,Soil (non-saline)
training_5640,Host-associated,Animal,Animal surface
training_5641,Host-associated,Animal,Animal distal gut
training_5642,Free-living,Non-saline,Water (non-saline)
training_5643,Free-living,Non-saline,Soil (non-saline)
training_5644,Free-living,Non-saline,Soil (non-saline)
training_5645,Free-living,Non-saline,Water (non-saline)
training_5646,Host-associated,Animal,Animal secretion
training_5647,Free-living,Non-saline,Soil (non-saline)
training_5648,Free-living,Non-saline,Water (non-saline)
training_5649,Host-associated,Animal,Animal distal gut
training_5650,Free-living,Non-saline,Water (non-saline)
training_5651,Host-associated,Animal,Animal distal gut
training_5652,Host-associated,Animal,Animal distal gut
training_5653,Free-living,Non-saline,Water (non-saline)
training_5654,Free-living,Non-saline,Soil (non-saline)
training_5655,Host-associated,Animal,Animal surface
training_5656,Free-living,Non-saline,Soil (non-saline)
training_5657,Host-associated,Animal,Animal surface
training_5658,Free-living,Non-saline,Soil (non-saline)
training_5659,Host-associated,Plant,Plant surface
training_5660,Host-associated,Animal,Animal distal gut
training_5661,Free-living,Non-saline,Water (non-saline)
training_5662,Free-living,Non-saline,Water (non-saline)
training_5663,Free-living,Non-saline,Aerosol (non-saline)
training_5664,Host-associated,Plant,Plant rhizosphere
training_5665,Free-living,Non-saline,Water (non-saline)
training_5666,Host-associated,Animal,Animal surface
training_5667,Free-living,Non-saline,Soil (non-saline)
training_5668,Host-associated,Animal,Animal surface
training_5669,Host-associated,Animal,Animal distal gut
training_5670,Free-living,Non-saline,Water (non-saline)
training_5671,Free-living,Non-saline,Soil (non-saline)
training_5672,Host-associated,Plant,Plant surface
training_5673,Free-living,Non-saline,Water (non-saline)
training_5674,Free-living,Non-saline,Water (non-saline)
training_5675,Free-living,Non-saline,Water (non-saline)
training_5676,Host-associated,Animal,Animal surface
training_5677,Host-associated,Plant,Plant surface
training_5678,Host-associated,Animal,Animal distal gut
training_5679,Free-living,Non-saline,Soil (non-saline)
training_5680,Host-associated,Plant,Plant surface
training_5681,Host-associated,Animal,Animal corpus
training_5682,Free-living,Saline,Sediment (saline)
training_5683,Host-associated,Animal,Animal distal gut
training_5684,Host-associated,Animal,Animal proximal gut
training_5685,Host-associated,Animal,Animal distal gut
training_5686,Free-living,Saline,Hypersaline (saline)
training_5687,Free-living,Non-saline,Soil (non-saline)
training_5688,Host-associated,Animal,Animal distal gut
training_5689,Host-associated,Animal,Animal distal gut
training_5690,Host-associated,Plant,Plant rhizosphere
training_5691,Free-living,Non-saline,Soil (non-saline)
training_5692,Host-associated,Animal,Animal distal gut
training_5693,Host-associated,Plant,Plant surface
training_5694,Host-associated,Plant,Plant surface
training_5695,Host-associated,Plant,Plant corpus
training_5696,Host-associated,Animal,Animal distal gut
training_5697,Host-associated,Plant,Plant rhizosphere
training_5698,Free-living,Non-saline,Water (non-saline)
training_5699,Host-associated,Animal,Animal distal gut
training_5700,Host-associated,Animal,Animal distal gut
training_5701,Free-living,Non-saline,Surface (non-saline)
training_5702,Host-associated,Plant,Plant surface
training_5703,Host-associated,Animal,Animal distal gut
training_5704,Free-living,Non-saline,Soil (non-saline)
training_5705,Free-living,Non-saline,Soil (non-saline)
training_5706,Free-living,Non-saline,Soil (non-saline)
training_5707,Free-living,Non-saline,Soil (non-saline)
training_5708,Host-associated,Animal,Animal distal gut
training_5709,Free-living,Non-saline,Surface (non-saline)
training_5710,Free-living,Non-saline,Soil (non-saline)
training_5711,Host-associated,Plant,Plant surface
training_5712,Free-living,Non-saline,Water (non-saline)
training_5713,Host-associated,Plant,Plant rhizosphere
training_5714,Free-living,Saline,Water (saline)
training_5715,Free-living,Non-saline,Soil (non-saline)
training_5716,Free-living,Saline,Water (saline)
training_5717,Free-living,Non-saline,Soil (non-saline)
training_5718,Free-living,Non-saline,Surface (non-saline)
training_5719,Host-associated,Plant,Plant rhizosphere
training_5720,Host-associated,Animal,Animal distal gut
training_5721,Host-associated,Plant,Plant rhizosphere
training_5722,Host-associated,Plant,Plant surface
training_5723,Free-living,Non-saline,Soil (non-saline)
training_5724,Free-living,Non-saline,Water (non-saline)
training_5725,Free-living,Non-saline,Water (non-saline)
training_5726,Host-associated,Animal,Animal surface
training_5727,Host-associated,Animal,Animal distal gut
training_5728,Free-living,Non-saline,Water (non-saline)
training_5729,Host-associated,Plant,Plant surface
training_5730,Host-associated,Animal,Animal secretion
training_5731,Free-living,Saline,Sediment (saline)
training_5732,Free-living,Non-saline,Water (non-saline)
training_5733,Host-associated,Animal,Animal distal gut
training_5734,Free-living,Non-saline,Surface (non-saline)
training_5735,Free-living,Non-saline,Soil (non-saline)
training_5736,Host-associated,Animal,Animal distal gut
training_5737,Host-associated,Animal,Animal secretion
training_5738,Host-associated,Plant,Plant surface
training_5739,Free-living,Non-saline,Soil (non-saline)
training_5740,Host-associated,Animal,Animal surface
training_5741,Host-associated,Animal,Animal distal gut
training_5742,Free-living,Non-saline,Water (non-saline)
training_5743,Host-associated,Animal,Animal distal gut
training_5744,Free-living,Non-saline,Surface (non-saline)
training_5745,Free-living,Saline,Water (saline)
training_5746,Free-living,Non-saline,Water (non-saline)
training_5747,Free-living,Non-saline,Water (non-saline)
training_5748,Host-associated,Animal,Animal distal gut
training_5749,Free-living,Non-saline,Soil (non-saline)
training_5750,Free-living,Non-saline,Water (non-saline)
training_5751,Host-associated,Plant,Plant rhizosphere
training_5752,Free-living,Non-saline,Soil (non-saline)
training_5753,Free-living,Non-saline,Soil (non-saline)
training_5754,Host-associated,Animal,Animal surface
training_5755,Free-living,Non-saline,Sediment (non-saline)
training_5756,Free-living,Non-saline,Surface (non-saline)
training_5757,Host-associated,Animal,Animal distal gut
training_5758,Host-associated,Animal,Animal surface
training_5759,Host-associated,Plant,Plant rhizosphere
training_5760,Free-living,Non-saline,Soil (non-saline)
training_5761,Host-associated,Animal,Animal distal gut
training_5762,Host-associated,Animal,Animal secretion
training_5763,Host-associated,Plant,Plant surface
training_5764,Free-living,Non-saline,Water (non-saline)
training_5765,Free-living,Non-saline,Water (non-saline)
training_5766,Host-associated,Animal,Animal distal gut
training_5767,Host-associated,Animal,Animal distal gut
training_5768,Host-associated,Animal,Animal distal gut
training_5769,Host-associated,Animal,Animal corpus
training_5770,Free-living,Non-saline,Soil (non-saline)
training_5771,Host-associated,Animal,Animal distal gut
training_5772,Free-living,Non-saline,Sediment (non-saline)
training_5773,Host-associated,Animal,Animal surface
training_5774,Free-living,Saline,Water (saline)
training_5775,Host-associated,Animal,Animal surface
training_5776,Free-living,Non-saline,Soil (non-saline)
training_5777,Free-living,Non-saline,Water (non-saline)
training_5778,Free-living,Non-saline,Sediment (non-saline)
training_5779,Host-associated,Animal,Animal secretion
training_5780,Host-associated,Animal,Animal distal gut
training_5781,Host-associated,Plant,Plant rhizosphere
training_5782,Free-living,Non-saline,Soil (non-saline)
training_5783,Free-living,Non-saline,Water (non-saline)
training_5784,Host-associated,Animal,Animal secretion
training_5785,Host-associated,Plant,Plant surface
training_5786,Free-living,Non-saline,Soil (non-saline)
training_5787,Host-associated,Animal,Animal distal gut
training_5788,Host-associated,Plant,Plant surface
training_5789,Host-associated,Plant,Plant rhizosphere
training_5790,Free-living,Non-saline,Water (non-saline)
training_5791,Free-living,Saline,Water (saline)
training_5792,Free-living,Non-saline,Soil (non-saline)
training_5793,Free-living,Non-saline,Soil (non-saline)
training_5794,Free-living,Non-saline,Soil (non-saline)
training_5795,Free-living,Non-saline,Water (non-saline)
training_5796,Free-living,Non-saline,Soil (non-saline)
training_5797,Host-associated,Animal,Animal distal gut
training_5798,Free-living,Non-saline,Soil (non-saline)
training_5799,Host-associated,Plant,Plant surface
training_5800,Free-living,Non-saline,Soil (non-saline)
training_5801,Free-living,Non-saline,Soil (non-saline)
training_5802,Host-associated,Plant,Plant corpus
training_5803,Host-associated,Animal,Animal proximal gut
training_5804,Host-associated,Animal,Animal surface
training_5805,Free-living,Non-saline,Water (non-saline)
training_5806,Host-associated,Plant,Plant rhizosphere
training_5807,Free-living,Non-saline,Water (non-saline)
training_5808,Free-living,Non-saline,Soil (non-saline)
training_5809,Free-living,Non-saline,Water (non-saline)
training_5810,Free-living,Non-saline,Water (non-saline)
training_5811,Host-associated,Animal,Animal distal gut
training_5812,Free-living,Non-saline,Surface (non-saline)
training_5813,Host-associated,Animal,Animal proximal gut
training_5814,Free-living,Non-saline,Water (non-saline)
training_5815,Free-living,Non-saline,Water (non-saline)
training_5816,Host-associated,Animal,Animal secretion
training_5817,Free-living,Non-saline,Water (non-saline)
training_5818,Free-living,Non-saline,Soil (non-saline)
training_5819,Host-associated,Animal,Animal surface
training_5820,Host-associated,Animal,Animal surface
training_5821,Host-associated,Plant,Plant surface
training_5822,Free-living,Non-saline,Surface (non-saline)
training_5823,Host-associated,Animal,Animal surface
training_5824,Host-associated,Animal,Animal surface
training_5825,Free-living,Non-saline,Water (non-saline)
training_5826,Free-living,Non-saline,Water (non-saline)
training_5827,Host-associated,Plant,Plant rhizosphere
training_5828,Host-associated,Animal,Animal secretion
training_5829,Host-associated,Animal,Animal distal gut
training_5830,Host-associated,Animal,Animal surface
training_5831,Host-associated,Plant,Plant surface
training_5832,Free-living,Non-saline,Water (non-saline)
training_5833,Free-living,Saline,Sediment (saline)
training_5834,Free-living,Non-saline,Water (non-saline)
training_5835,Free-living,Non-saline,Soil (non-saline)
training_5836,Free-living,Non-saline,Water (non-saline)
training_5837,Free-living,Non-saline,Soil (non-saline)
training_5838,Host-associated,Animal,Animal secretion
training_5839,Host-associated,Animal,Animal distal gut
training_5840,Free-living,Saline,Surface (saline)
training_5841,Host-associated,Animal,Animal surface
training_5842,Host-associated,Animal,Animal distal gut
training_5843,Host-associated,Animal,Animal surface
training_5844,Free-living,Non-saline,Water (non-saline)
training_5845,Free-living,Non-saline,Soil (non-saline)
training_5846,Host-associated,Animal,Animal distal gut
training_5847,Host-associated,Animal,Animal surface
training_5848,Host-associated,Animal,Animal surface
training_5849,Host-associated,Animal,Animal surface
training_5850,Free-living,Non-saline,Water (non-saline)
training_5851,Free-living,Saline,Sediment (saline)
training_5852,Free-living,Non-saline,Sediment (non-saline)
training_5853,Host-associated,Animal,Animal distal gut
training_5854,Host-associated,Animal,Animal distal gut
training_5855,Host-associated,Animal,Animal surface
training_5856,Host-associated,Plant,Plant surface
training_5857,Host-associated,Animal,Animal surface
training_5858,Free-living,Non-saline,Water (non-saline)
training_5859,Free-living,Non-saline,Soil (non-saline)
training_5860,Host-associated,Animal,Animal secretion
training_5861,Free-living,Non-saline,Water (non-saline)
training_5862,Free-living,Non-saline,Soil (non-saline)
training_5863,Free-living,Non-saline,Soil (non-saline)
training_5864,Host-associated,Plant,Plant surface
training_5865,Host-associated,Animal,Animal distal gut
training_5866,Free-living,Non-saline,Soil (non-saline)
training_5867,Host-associated,Animal,Animal distal gut
training_5868,Host-associated,Plant,Plant surface
training_5869,Host-associated,Animal,Animal distal gut
training_5870,Host-associated,Animal,Animal distal gut
